ANIO,COD_DPTO,NOM_DPTO,NOM_MUSEO,COD_MES,NOM_MES,COD_TIPO,NOM_TIPO,ADU_BOLESPPAGANTES,EST_BOLESPPAGANTES,NIN_BOLESPPAGANTES,MIL_BOLESPPAGANTES,ADM_BOLESPPAGANTES,ADU_PAGANTES,EST_PAGANTES,NIN_PAGANTES,TOTAL_PAGANTES,ADU_BOLESPNOPAGANTES,EST_BOLESPNOPAGANTES,NIN_BOLESPNOPAGANTES,MIL_BOLESPNOPAGANTES,ADM_BOLESPNOPAGANTES,ADU_NOPAGANTES,EST_NOPAGANTES,NIN_NOPAGANTES,TOTAL_NOPAGANTES,TOTAL,FECHA,ADULTOS,ADULTO_MAYOR,ESTUDIANTE,NIÑOS,MILITAR,IDMUSEO
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",6,Junio,0,Nacionales,0,0,0,0,0,38,13,4,55,0,0,0,0,0,0,0,0,0,55,2013-06-01,38,0,13,4,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",6,Junio,1,Extranjeros,0,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,28,2013-06-01,28,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",7,Julio,0,Nacionales,0,0,0,0,0,35,4,2,41,0,0,0,0,0,21,12,0,33,74,2013-07-01,56,0,16,2,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",7,Julio,1,Extranjeros,0,0,0,0,0,29,0,0,29,0,0,0,0,0,7,0,0,7,36,2013-07-01,36,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",8,Agosto,0,Nacionales,0,0,0,0,0,68,12,5,85,0,0,0,0,0,0,0,0,0,85,2013-08-01,68,0,12,5,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",8,Agosto,1,Extranjeros,0,0,0,0,0,57,0,0,57,0,0,0,0,0,0,0,0,0,57,2013-08-01,57,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",9,Setiembre,0,Nacionales,0,0,0,0,0,49,46,4,99,0,0,0,0,0,0,0,0,0,99,2013-09-01,49,0,46,4,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",9,Setiembre,1,Extranjeros,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,34,2013-09-01,34,0,0,0,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",10,Octubre,0,Nacionales,0,0,0,0,0,48,9,11,68,0,0,0,0,0,55,47,0,102,170,2013-10-01,103,0,56,11,0,57
2013,21,Puno,"Templo Museo ""Nuestra Señora de La Asuncion""",10,Octubre,1,Extranjeros,0,0,0,0,0,24,0,0,24,0,0,0,0,0,17,0,0,17,41,2013-10-01,41,0,0,0,0,57
